condition,payer,payee,trial,amount_sat,started_utc,ended_utc,local_cli_elapsed_ms,htlc_elapsed_ms,status,fee_msat,attempts,hops,payment_hash,invoice_settled
chain-running,b,c,1,10000,2026-09-07T23:43:43.615102+00:00,2026-09-07T23:43:43.979842+00:00,364.705433,278.764184,SUCCEEDED,0,1,1,a13a9332a2128cc4bd7aa1a7ecaea43e5df0634c5423f13ec9bc86298e7fb538,True
chain-running,b,c,2,10000,2026-09-07T23:43:48.634429+00:00,2026-09-07T23:43:49.088217+00:00,453.754936,384.981291,SUCCEEDED,0,1,1,fe7d247642a39c305862c7b89bb69882ebc406a05fbd339562f4372dc2e15560,True
chain-running,b,c,3,10000,2026-09-07T23:43:50.992711+00:00,2026-09-07T23:43:51.338782+00:00,346.035419,258.027747,SUCCEEDED,0,1,1,2a765154940f9da8125a3917171d212a42612c5d1701af065158003620efea8b,True
chain-running,b,c,4,10000,2026-09-07T23:43:53.160390+00:00,2026-09-07T23:43:53.504621+00:00,344.196509,268.2808,SUCCEEDED,0,1,1,cf9b6301f6ee7d11fd38ab246b8141aeed0fe09705e3fdcf2bb4b1f5087e41ae,True
chain-running,b,c,5,10000,2026-09-07T23:43:55.602719+00:00,2026-09-07T23:43:55.955990+00:00,353.236819,281.440839,SUCCEEDED,0,1,1,f3d680938a1a9c8055464db70ca343c839f4d441275e218c044b794a66f266db,True
chain-running,b,c,6,10000,2026-09-07T23:44:00.384626+00:00,2026-09-07T23:44:00.829176+00:00,444.4782,371.809495,SUCCEEDED,0,1,1,061d3fd0bc621ac903d32c290b853f83647bc60c20775fdca8d529a369dea550,True
chain-running,b,c,7,10000,2026-09-07T23:44:02.857252+00:00,2026-09-07T23:44:03.197376+00:00,340.088669,276.201497,SUCCEEDED,0,1,1,31fec6b1ae49bb7aa080ecfbe2bfdc9f1ac2b60d1c9df6a47984c7c060ae51dd,True
chain-running,b,c,8,10000,2026-09-07T23:44:05.193924+00:00,2026-09-07T23:44:05.570329+00:00,376.370336,303.910243,SUCCEEDED,0,1,1,3ee7b89993759f6a9c9295d7d3d4df3268d2bfa0613c4bda55d6ccfa8dcacaa2,True
chain-running,b,c,9,10000,2026-09-07T23:44:10.681710+00:00,2026-09-07T23:44:11.208012+00:00,526.267454,453.180268,SUCCEEDED,0,1,1,3d00294199575ca8987458dd1935b3e5f767192e49abc52f9d7ca4095e97290f,True
chain-running,b,c,10,10000,2026-09-07T23:44:13.878152+00:00,2026-09-07T23:44:14.217506+00:00,339.319502,261.918939,SUCCEEDED,0,1,1,87991cfb77fa6f2b54128535d6fd3b3f30dd553556ee38343f3a59ebc05dbd0f,True
chain-running,b,c,11,10000,2026-09-07T23:44:18.892900+00:00,2026-09-07T23:44:19.192101+00:00,299.167125,226.909774,SUCCEEDED,0,1,1,b7b248e14841e2e98081c677776f1c562f5bb99f0bf7a309e7ce750d99cd259f,True
chain-running,b,c,12,10000,2026-09-07T23:44:20.687526+00:00,2026-09-07T23:44:20.996541+00:00,308.980584,231.124299,SUCCEEDED,0,1,1,cdd7411e9d1e05f0e64146ffffb4a7b3981672c8bf40c45240cba18734685de2,True
chain-running,b,c,13,10000,2026-09-07T23:44:22.423830+00:00,2026-09-07T23:44:22.696510+00:00,272.644103,194.977891,SUCCEEDED,0,1,1,edaf06b48638e36d17b0b5f43921f14360d005e279b563c6003f16a783c831cb,True
chain-running,b,c,14,10000,2026-09-07T23:44:24.600357+00:00,2026-09-07T23:44:24.913045+00:00,312.651405,239.658256,SUCCEEDED,0,1,1,27ff91aa6cdcb0473111c8e966c89318e48b1126cd05e0ae4f4283f492a495bb,True
chain-running,b,c,15,10000,2026-09-07T23:44:27.410611+00:00,2026-09-07T23:44:28.043456+00:00,632.81021,552.661995,SUCCEEDED,0,1,1,1e9122e2c5fad2df4253a99cd2ddee87108ca3d2f70742d8f706528ccee25a67,True
chain-running,b,c,16,10000,2026-09-07T23:44:29.866319+00:00,2026-09-07T23:44:30.224884+00:00,358.530798,285.384367,SUCCEEDED,0,1,1,413c59f79f997ae64f2d579ffc0db5d69d99b5cb34482b8b6c1fec4eb89e7886,True
chain-running,b,c,17,10000,2026-09-07T23:44:32.031167+00:00,2026-09-07T23:44:32.338593+00:00,307.391738,232.806599,SUCCEEDED,0,1,1,21f8b8cf30896ed27192dd8940b8f4218d6c5e42ce8169309bfdcf899f804721,True
chain-running,b,c,18,10000,2026-09-07T23:44:33.761903+00:00,2026-09-07T23:44:34.039117+00:00,277.177662,205.994429,SUCCEEDED,0,1,1,67a316f8a3317e719acb6f9af368d6cfd771db8d74c5e53c3125b8cebf499e23,True
